ProductName,ReleaseDate,Build_short,Build_long
Exchange Server 2016 CU3,20-Sep-16,15.1.544.27,15.01.0544.027
Exchange Server 2016 CU2,21-Jun-16,15.1.466.34,15.01.0466.034
Exchange Server 2016 CU1,15-Mar-16,15.1.396.30,15.01.0396.030
Exchange Server 2016 RTM,1-Oct-15,15.1.225.42,15.01.0225.042
Exchange Server 2016 Preview,22-Jul-15,15.1.225.16,15.01.0225.016
Exchange Server 2013 CU23 Mar23SU,14-Mar-23,15.0.1497.48,15.00.1497.048
Exchange Server 2013 CU23 Feb23SU,14-Feb-23,15.0.1497.47,15.00.1497.047
Exchange Server 2013 CU23 Jan23SU,10-Jan-23,15.0.1497.45,15.00.1497.045
Exchange Server 2013 CU23 Nov22SU,8-Nov-22,15.0.1497.44,15.00.1497.044
Exchange Server 2013 CU23 Oct22SU,11-Oct-22,15.0.1497.42,15.00.1497.042
Exchange Server 2013 CU23 Aug22SU,9-Aug-22,15.0.1497.40,15.00.1497.040
Exchange Server 2013 CU23 May22SU,10-May-22,15.0.1497.36,15.00.1497.036
Exchange Server 2013 CU23 Mar22SU,8-Mar-22,15.0.1497.33,15.00.1497.033
Exchange Server 2013 CU23 Jan22SU,11-Jan-22,15.0.1497.28,15.00.1497.028
Exchange Server 2013 CU23 Nov21SU,9-Nov-21,15.0.1497.26,15.00.1497.026
Exchange Server 2013 CU23 Oct21SU,12-Oct-21,15.0.1497.24,15.00.1497.024
Exchange Server 2013 CU23 Jul21SU,13-Jul-21,15.0.1497.23,15.00.1497.023
Exchange Server 2013 CU23 May21SU,11-May-21,15.0.1497.18,15.00.1497.018
Exchange Server 2013 CU23 Apr21SU,13-Apr-21,15.0.1497.15,15.00.1497.015
Exchange Server 2013 CU23 Mar21SU,2-Mar-21,15.0.1497.12,15.00.1497.012
Exchange Server 2013 CU22 Mar21SU,2-Mar-21,15.0.1473.6,15.00.1473.006
Exchange Server 2013 CU21 Mar21SU,2-Mar-21,15.0.1395.12,15.00.1395.012
Exchange Server 2013 CU23,18-Jun-19,15.0.1497.2,15.00.1497.002
Exchange Server 2013 CU22,12-Feb-19,15.0.1473.3,15.00.1473.003
Exchange Server 2013 CU21,19-Jun-18,15.0.1395.4,15.00.1395.004
Exchange Server 2013 CU20,20-Mar-18,15.0.1367.3,15.00.1367.003
Exchange Server 2013 CU19,19-Dec-17,15.0.1365.1,15.00.1365.001
Exchange Server 2013 CU18,19-Sep-17,15.0.1347.2,15.00.1347.002
Exchange Server 2013 CU17,27-Jun-17,15.0.1320.4,15.00.1320.004
Exchange Server 2013 CU16,21-Mar-17,15.0.1293.2,15.00.1293.002
Exchange Server 2013 CU15,13-Dec-16,15.0.1263.5,15.00.1263.005
Exchange Server 2013 CU14,20-Sep-16,15.0.1236.3,15.00.1236.003
Exchange Server 2013 CU13,21-Jun-16,15.0.1210.3,15.00.1210.003
Exchange Server 2013 CU12,15-Mar-16,15.0.1178.4,15.00.1178.004
Exchange Server 2013 CU11,15-Dec-15,15.0.1156.6,15.00.1156.006
Exchange Server 2013 CU10,15-Sep-15,15.0.1130.7,15.00.1130.007
Exchange Server 2013 CU9,17-Jun-15,15.0.1104.5,15.00.1104.005
Exchange Server 2013 CU8,17-Mar-15,15.0.1076.9,15.00.1076.009
Exchange Server 2013 CU7,9-Dec-14,15.0.1044.25,15.00.1044.025
Exchange Server 2013 CU6,26-Aug-14,15.0.995.29,15.00.0995.029
Exchange Server 2013 CU5,27-May-14,15.0.913.22,15.00.0913.022
Exchange Server 2013 SP1,25-Feb-14,15.0.847.32,15.00.0847.032
Exchange Server 2013 CU3,25-Nov-13,15.0.775.38,15.00.0775.038
Exchange Server 2013 CU2,9-Jul-13,15.0.712.24,15.00.0712.024
Exchange Server 2013 CU1,2-Apr-13,15.0.620.29,15.00.0620.029
