Product,Vendor,MDE_SoftwareName
Camtasia 2019 - MSI Install,TechSmith Corporation,camtasia
Camtasia 2020 - EXE Install,TechSmith Corporation,camtasia
Camtasia 2020 - MSI Install,TechSmith Corporation,camtasia
Camtasia 2021 - EXE Install,TechSmith Corporation,camtasia
Camtasia 2021 - MSI Install,TechSmith Corporation,camtasia
Snagit 2018 (x64),TechSmith Corporation,snagit
Snagit 2018 (x86),TechSmith Corporation,snagit
Snagit 2019 (x64),TechSmith Corporation,snagit
Snagit 2019 (x86),TechSmith Corporation,snagit
Snagit 2020 (x64) - EXE Install,TechSmith Corporation,snagit
Snagit 2020 (x64) - MSI Install,TechSmith Corporation,snagit
Snagit 2020 (x86) - EXE Install,TechSmith Corporation,snagit
Snagit 2020 (x86) - MSI Install,TechSmith Corporation,snagit
Snagit 2021 (x64) - EXE Install,TechSmith Corporation,snagit
Snagit 2021 (x64) - MSI Install,TechSmith Corporation,snagit
Snagit 2021 (x86) - EXE Install,TechSmith Corporation,snagit
Snagit 2021 (x86) - MSI Install,TechSmith Corporation,snagit
Snagit 2022 (x64) - EXE Install,TechSmith Corporation,snagit
Snagit 2022 (x64) - MSI Install,TechSmith Corporation,snagit
Progress TestStudio 2017,Telerik Inc.,
Progress TestStudio 2018,Telerik Inc.,
Progress TestStudio 2019,Telerik Inc.,
Nessus Agent 10 (x64),"Tenable, Inc.",
Nessus Agent 10 (x86),"Tenable, Inc.",
Nessus Agent 8 (x64),"Tenable, Inc.",
Nessus Agent 8 (x86),"Tenable, Inc.",
LibreOffice (x64),The Document Foundation,libreoffice
LibreOffice (x86),The Document Foundation,libreoffice
Gimp,The GIMP Team,gimp
Git (x64),The Git Development Community,
Git (x86),The Git Development Community,
Gpg4win,The Gpg4win Project,
Wireshark (x64),The Wireshark developer community,wireshark
Wireshark (x86),The Wireshark developer community,wireshark
WinMerge (x64),Thingamahoochie Software,winmerge
WinMerge (x86),Thingamahoochie Software,winmerge
think-cell (MSI),think-cell Operations GmbH,think-cell
FileZilla Client (x64),Tim Kosse,filezilla
FileZilla Client (x86),Tim Kosse,filezilla
FileZilla Server (x64),Tim Kosse,filezilla_server
TortoiseGit (x64),TortoiseGit,tortoisegit_
TortoiseGit (x86),TortoiseGit,tortoisegit_
TortoiseSVN (x64),TortoiseSVN,
TortoiseSVN (x86),TortoiseSVN,
OCZ SSD Utility,Toshiba Corporation,
PDF-XChange Editor 8 (x64),Tracker Software Products,pdf-xchange
PDF-XChange Editor 8 (x86),Tracker Software Products,pdf-xchange
PDF-XChange Editor 9 (x64),Tracker Software Products,pdf-xchange
PDF-XChange Editor 9 (x86),Tracker Software Products,pdf-xchange
PDF-XChange PRO 8 (x64),Tracker Software Products,pdf-xchange
PDF-XChange PRO 8 (x86),Tracker Software Products,pdf-xchange
PDF-XChange PRO 9 (x64),Tracker Software Products,pdf-xchange
PDF-XChange PRO 9 (x86),Tracker Software Products,pdf-xchange
SketchUp Make 2016 (x64),"Trimble, Inc.",
SketchUp Make 2016(x86),"Trimble, Inc.",
SketchUp Make 2017 (x64),"Trimble, Inc.",
SketchUp Pro 2016 (x64),"Trimble, Inc.",
SketchUp Pro 2016 (x86),"Trimble, Inc.",
SketchUp Pro 2017 (x64),"Trimble, Inc.",
SketchUp Pro 2019 (x64),"Trimble, Inc.",
SketchUp Pro 2020 (x64),"Trimble, Inc.",
SketchUp Pro 2021 (x64),"Trimble, Inc.",
SketchUp Pro 2022 (x64),"Trimble, Inc.",
UltraVNC (x64),uvnc bvba,ultravnc
UltraVNC (x86),uvnc bvba,ultravnc
VLC Media Player (x64) - EXE Install,VideoLAN,vlc_media_player
VLC Media Player (x64) - MSI Install,VideoLAN,vlc_media_player
VLC Media Player (x86) - EXE Install,VideoLAN,vlc_media_player
VLC Media Player (x86) - MSI Install,VideoLAN,vlc_media_player
Vivaldi (x64),Vivaldi,
Vivaldi (x86),Vivaldi,
Vivi (x64) - MSI Install,Vivi Corporation,
VMware Horizon Client 5,"VMware, Inc.",
VMware Horizon Client 8,"VMware, Inc.",
VMware Remote Console,"VMware, Inc.",
VMware Tools,"VMware, Inc.",
VMware Workstation 10,"VMware, Inc.",
VMware Workstation 11,"VMware, Inc.",
VMware Workstation Player 12,"VMware, Inc.",
VMware Workstation Player 14,"VMware, Inc.",
VMware Workstation Player 15,"VMware, Inc.",
VMware Workstation Player 16,"VMware, Inc.",
VMware Workstation Pro 12,"VMware, Inc.",
VMware Workstation Pro 14,"VMware, Inc.",
VMware Workstation Pro 15,"VMware, Inc.",
VMware Workstation Pro 16,"VMware, Inc.",
Everything (x64) - EXE Install,voidtools,
Everything (x64) - MSI Install,voidtools,
Everything Lite (x64) - EXE Install,voidtools,
WinRAR (x64),win.rar GmbH,winrar
WinRAR (x86),win.rar GmbH,winrar
WinZip 19 (x64),"WinZip Computing, S.L.",winzip
WinZip 19 (x86),"WinZip Computing, S.L.",winzip
WinZip 20 (x64),"WinZip Computing, S.L.",winzip
WinZip 20 (x86),"WinZip Computing, S.L.",winzip
WinZip 23 (x64),"WinZip Computing, S.L.",winzip
WinZip 23 (x86),"WinZip Computing, S.L.",winzip
WinZip 24 (x64),"WinZip Computing, S.L.",winzip
WinZip 24 (x86),"WinZip Computing, S.L.",winzip
WinZip 25 (x64),"WinZip Computing, S.L.",winzip
WinZip 25 (x86),"WinZip Computing, S.L.",winzip
WinZip 26 (x64),"WinZip Computing, S.L.",winzip
WinZip 26 (x86),"WinZip Computing, S.L.",winzip
Charles (x64),XK72 Ltd,
Charles (x86),XK72 Ltd,
XMind,XMind Ltd.,
Zoom Client for VDI,Zoom,zoom
Zoom Meetings (User-x64),Zoom,zoom
Zoom Meetings (x64),Zoom,zoom
Zoom Meetings (x86),Zoom,zoom
Zoom Outlook Plugin,Zoom,zoom
Zoom Plugin for Citrix Receiver,Zoom,zoom
Zoom Rooms,Zoom,zoom
Zoom Skype for Business Plugin,Zoom,zoom
Zscaler Client Connector,Zscaler Inc.,
