Product,Vendor,MDE_SoftwareName
Cisco WebEx Teams,"Cisco Systems, Inc.",
WebEx,"Cisco Systems, Inc.",webex
Citrix Files,"Citrix Systems, Inc.",
Citrix HDX RealTime Media Engine,"Citrix Systems, Inc.",
Citrix Receiver LTSR,"Citrix Systems, Inc.",
Citrix Workspace,"Citrix Systems, Inc.",
Citrix Workspace LTSR,"Citrix Systems, Inc.",
Royal TS 3,code4ward GmbH,
Royal TS 4,code4ward GmbH,
Royal TS 5,code4ward GmbH,
Royal TS 6,code4ward GmbH,
MinuteTraq,CompuSolve,
CPUID CPU-Z,"CPUID, Inc.",
DBeaver CE,DBeaver Corp,
DBeaver EE,DBeaver Corp,
Dell Command Update,"Dell, Inc.",
Dell Command Update for Windows 10,"Dell, Inc.",
Dell Display Manager,"Dell, Inc.",
Remote Desktop Manager Enterprise,Devolutions inc.,
Remote Desktop Manager Free,Devolutions inc.,
DisplayLink,DisplayLink Corp.,
Docker for Windows,Docker Inc.,
KeePass v1 - EXE Install,Dominik Reichl,
KeePass v1 - MSI Install,Dominik Reichl,
KeePass v2 - EXE Install,Dominik Reichl,
KeePass v2 - MSI Install,Dominik Reichl,
Paint.NET (x64),dotPDN LLC,paint.net
Paint.NET (x86),dotPDN LLC,paint.net
Dropbox,"Dropbox, Inc.",dropbox
Druva inSync,Druva Technologies Pte. Ltd.,
Duo Authentication for Windows Logon (x64) - MSI Install,Duo Security Inc.,
ImageGlass (MSI-x64),Duong Dieu Phap,
DYMO Connect,DYMO,
Temurin JDK with Hotspot 11 (x64),Eclipse Foundation,
Temurin JDK with Hotspot 11 (x86),Eclipse Foundation,
Temurin JDK with Hotspot 17 (x64),Eclipse Foundation,eclipse_temurin_jdk_mit_hotspot_17.0.2+8_(x64)
Temurin JDK with Hotspot 8 (x64),Eclipse Foundation,eclipse_temurin_jdk_mit_hotspot_8u302-b08_(x64)
Temurin JDK with Hotspot Latest (x64),Eclipse Foundation,
Temurin JRE with Hotspot 11 (x64),Eclipse Foundation,
Temurin JRE with Hotspot 11 (x86),Eclipse Foundation,
Temurin JRE with Hotspot 8 (x64),Eclipse Foundation,
Temurin JRE with Hotspot 8 (x86),Eclipse Foundation,
Egnyte Connect,"Egnyte, Inc.",
Egnyte WebEdit (MSI),"Egnyte, Inc.",
ESET Endpoint Security 6 (x64),"ESET, spol. s r .o.",
ESET Endpoint Security 6 (x86),"ESET, spol. s r .o.",
ESET Endpoint Security 7 (x64),"ESET, spol. s r .o.",
ESET Endpoint Security 7 (x86),"ESET, spol. s r .o.",
ESET Endpoint Security 8 (x64),"ESET, spol. s r .o.",
ESET Endpoint Security 8 (x86),"ESET, spol. s r .o.",
ESET Endpoint Security 9 (x64),"ESET, spol. s r .o.",
ESET Endpoint Security 9 (x86),"ESET, spol. s r .o.",
ESET File Security 6 (x64),"ESET, spol. s r .o.",
ESET File Security 6 (x86),"ESET, spol. s r .o.",
ESET File Security 7 (x64),"ESET, spol. s r .o.",
ESET File Security 7 (x86),"ESET, spol. s r .o.",
ESET Remote Administrator Agent (x64),"ESET, spol. s r .o.",
ESET Remote Administrator Agent (x86),"ESET, spol. s r .o.",
Evernote,Evernote Corp.,evernote
Exclaimer Cloud Signature Update Agent,Exclaimer Ltd,
FastStone Capture,FastStone Soft,
Crypto Prevent,Foolish IT LLC,
FortiClient VPN (EXE-x64),Fortinet Technologies Inc,
FortiClient VPN (MSI-x64),Fortinet Technologies Inc,
Foxit PDF Editor 11,Foxit Software Inc.,foxit_pdf_editor
Foxit PDF Editor 11 (ML),Foxit Software Inc.,
Foxit PDF Reader 11,Foxit Software Inc.,
Foxit PhantomPDF 10,Foxit Software Inc.,
Foxit PhantomPDF 9,Foxit Software Inc.,
Foxit Reader,Foxit Software Inc.,
JAWS 2019 (x64),Freedom Scientific,
JAWS 2019 (x86),Freedom Scientific,
JAWS 2020 (x64),Freedom Scientific,
JAWS 2020 (x86),Freedom Scientific,
JAWS 2021 (x64),Freedom Scientific,
JAWS 2021 (x86),Freedom Scientific,
JAWS 2022 (x64),Freedom Scientific,
JAWS 2022 (x86),Freedom Scientific,
ZoomText 2021,Freedom Scientific,
ZoomText 2022,Freedom Scientific,
